"","Abbr.","Name","UTC offset","trunc","offset"
"1","ACDT","Australian Central Daylight Time","UTC+10:30","ACD",10.5
"2","ACST","Australian Central Standard Time","UTC+09:30","ACS",9.5
"3","ACT","ASEAN Common Time","UTC+08","ACT",8
"4","ADT","Atlantic Daylight Time","UTC−03","ADT",-3
"5","AEDT","Australian Eastern Daylight Time","UTC+11","AED",11
"6","AEST","Australian Eastern Standard Time","UTC+10","AES",10
"7","AFT","Afghanistan Time","UTC+04:30","AFT",4.5
"8","AKDT","Alaska Daylight Time","UTC−08","AKD",-8
"9","AKST","Alaska Standard Time","UTC−09","AKS",-9
"10","AMST","Armenia Summer Time","UTC+05","AMS",5
"11","AMT","Armenia Time","UTC+04","AMT",4
"12","ART","Argentina Time","UTC−03","ART",-3
"13","AST","Arabia Standard Time","UTC+03","AST",3
"14","AST","Atlantic Standard Time","UTC−04","AST",-4
"15","AWDT","Australian Western Daylight Time","UTC+09","AWD",9
"16","AWST","Australian Western Standard Time","UTC+08","AWS",8
"17","AZOST","Azores Standard Time","UTC−01","AZO",-1
"18","AZT","Azerbaijan Time","UTC+04","AZT",4
"19","BDT","Brunei Time","UTC+08","BDT",8
"20","BIOT","British Indian Ocean Time","UTC+06","BIO",6
"21","BIT","Baker Island Time","UTC−12","BIT",-12
"22","BOT","Bolivia Time","UTC−04","BOT",-4
"23","BRT","Brasilia Time","UTC−03","BRT",-3
"24","BST","Bangladesh Standard Time","UTC+06","BST",6
"25","BST","British Summer Time (British Standard Time from Feb 1968 to Oct 1971)","UTC+01","BST",1
"26","BTT","Bhutan Time","UTC+06","BTT",6
"27","CAT","Central Africa Time","UTC+02","CAT",2
"28","CCT","Cocos Islands Time","UTC+06:30","CCT",6.5
"29","CDT","Central Daylight Time (North America)","UTC−05","CDT",-5
"30","CDT","Cuba Daylight Time[1]","UTC−04","CDT",-4
"31","CEDT","Central European Daylight Time","UTC+02","CED",2
"32","CEST","Central European Summer Time (Cf. HAEC)","UTC+02","CES",2
"33","CET","Central European Time","UTC+01","CET",1
"34","CHADT","Chatham Daylight Time","UTC+13:45","CHA",13.75
"35","CHAST","Chatham Standard Time","UTC+12:45","CHA",12.75
"36","CHOT","Choibalsan","UTC−08","CHO",-8
"37","ChST","Chamorro Standard Time","UTC+10","ChS",10
"38","CHUT","Chuuk Time","UTC+10","CHU",10
"39","CIST","Clipperton Island Standard Time","UTC−08","CIS",-8
"40","CIT","Central Indonesia Time","UTC+08","CIT",8
"41","CKT","Cook Island Time","UTC−10","CKT",-10
"42","CLST","Chile Summer Time","UTC−03","CLS",-3
"43","CLT","Chile Standard Time","UTC−04","CLT",-4
"44","COST","Colombia Summer Time","UTC−04","COS",-4
"45","COT","Colombia Time","UTC−05","COT",-5
"46","CST","Central Standard Time (North America)","UTC−06","CST",-6
"47","CST","China Standard Time","UTC+08","CST",8
"48","CST","Central Standard Time (Australia)","UTC+09:30","CST",9.5
"49","CST","Central Summer Time (Australia)","UTC+10:30","CST",10.5
"50","CST","Cuba Standard Time","UTC−05","CST",-5
"51","CT","China time","UTC+08","CT",8
"52","CVT","Cape Verde Time","UTC−01","CVT",-1
"53","CWST","Central Western Standard Time (Australia)","UTC+08:45","CWS",8.75
"54","CXT","Christmas Island Time","UTC+07","CXT",7
"55","DAVT","Davis Time","UTC+07","DAV",7
"56","DDUT","Dumont d'Urville Time","UTC+10","DDU",10
"57","DFT","AIX specific equivalent of Central European Time[2]","UTC+01","DFT",1
"58","EASST","Easter Island Standard Summer Time","UTC−05","EAS",-5
