"region","state","city","link","weight"
"US","Alabama","auburn","http://auburn.craigslist.org",0.000974593102539087
"US","Alabama","birmingham","http://bham.craigslist.org",0.000974593102539087
"US","Alabama","dothan","http://dothan.craigslist.org",0.000974593102539087
"US","Alabama","florence / muscle shoals","http://shoals.craigslist.org",0.000974593102539087
"US","Alabama","gadsden-anniston","http://gadsden.craigslist.org",0.000974593102539087
"US","Alabama","huntsville / decatur","http://huntsville.craigslist.org",0.000974593102539087
"US","Alabama","mobile","http://mobile.craigslist.org",0.000974593102539087
"US","Alabama","montgomery","http://montgomery.craigslist.org",0.000974593102539087
"US","Alabama","tuscaloosa","http://tuscaloosa.craigslist.org",0.000974593102539087
"US","Alaska","anchorage / mat-su","http://anchorage.craigslist.org",0.00014822006243962
"US","Alaska","fairbanks","http://fairbanks.craigslist.org",0.00014822006243962
"US","Alaska","kenai peninsula","http://kenai.craigslist.org",0.00014822006243962
"US","Alaska","southeast alaska","http://juneau.craigslist.org",0.00014822006243962
"US","Arizona","flagstaff / sedona","http://flagstaff.craigslist.org",0.00133608470729595
"US","Arizona","mohave county","http://mohave.craigslist.org",0.00133608470729595
"US","Arizona","phoenix","http://phoenix.craigslist.org",0.00133608470729595
"US","Arizona","prescott","http://prescott.craigslist.org",0.00133608470729595
"US","Arizona","show low","http://showlow.craigslist.org",0.00133608470729595
"US","Arizona","sierra vista","http://sierravista.craigslist.org",0.00133608470729595
"US","Arizona","tucson","http://tucson.craigslist.org",0.00133608470729595
"US","Arizona","yuma","http://yuma.craigslist.org",0.00133608470729595
"US","Arkansas","fayetteville ","http://fayar.craigslist.org",0.000596679849118424
"US","Arkansas","fort smith","http://fortsmith.craigslist.org",0.000596679849118424
"US","Arkansas","jonesboro","http://jonesboro.craigslist.org",0.000596679849118424
"US","Arkansas","little rock","http://littlerock.craigslist.org",0.000596679849118424
"US","Arkansas","texarkana","http://texarkana.craigslist.org",0.000596679849118424
"US","California","bakersfield","http://bakersfield.craigslist.org",0.00772874620624329
"US","California","chico","http://chico.craigslist.org",0.00772874620624329
"US","California","fresno / madera","http://fresno.craigslist.org",0.00772874620624329
"US","California","gold country","http://goldcountry.craigslist.org",0.00772874620624329
"US","California","hanford-corcoran","http://hanford.craigslist.org",0.00772874620624329
"US","California","humboldt county","http://humboldt.craigslist.org",0.00772874620624329
"US","California","imperial county","http://imperial.craigslist.org",0.00772874620624329
"US","California","inland empire","http://inlandempire.craigslist.org",0.00772874620624329
"US","California","los angeles","http://losangeles.craigslist.org",0.00772874620624329
"US","California","mendocino county","http://mendocino.craigslist.org",0.00772874620624329
"US","California","merced","http://merced.craigslist.org",0.00772874620624329
"US","California","modesto","http://modesto.craigslist.org",0.00772874620624329
"US","California","monterey bay","http://monterey.craigslist.org",0.00772874620624329
"US","California","orange county","http://orangecounty.craigslist.org",0.00772874620624329
"US","California","palm springs","http://palmsprings.craigslist.org",0.00772874620624329
"US","California","redding","http://redding.craigslist.org",0.00772874620624329
"US","California","sacramento","http://sacramento.craigslist.org",0.00772874620624329
"US","California","san diego","http://sandiego.craigslist.org",0.00772874620624329
"US","California","san francisco bay area","http://sfbay.craigslist.org",0.00772874620624329
"US","California","san luis obispo","http://slo.craigslist.org",0.00772874620624329
"US","California","santa barbara","http://santabarbara.craigslist.org",0.00772874620624329
"US","California","santa maria","http://santamaria.craigslist.org",0.00772874620624329
"US","California","siskiyou county","http://siskiyou.craigslist.org",0.00772874620624329
"US","California","stockton","http://stockton.craigslist.org",0.00772874620624329
"US","California","susanville","http://susanville.craigslist.org",0.00772874620624329
"US","California","ventura county","http://ventura.craigslist.org",0.00772874620624329
"US","California","visalia-tulare","http://visalia.craigslist.org",0.00772874620624329
"US","California","yuba-sutter","http://yubasutter.craigslist.org",0.00772874620624329
"US","Colorado","boulder","http://boulder.craigslist.org",0.0010622278525419
"US","Colorado","colorado springs","http://cosprings.craigslist.org",0.0010622278525419
"US","Colorado","denver","http://denver.craigslist.org",0.0010622278525419
"US","Colorado","eastern CO","http://eastco.craigslist.org",0.0010622278525419
"US","Colorado","fort collins / north CO","http://fortcollins.craigslist.org",0.0010622278525419
"US","Colorado","high rockies","http://rockies.craigslist.org",0.0010622278525419
"US","Colorado","pueblo","http://pueblo.craigslist.org",0.0010622278525419
"US","Colorado","western slope","http://westslope.craigslist.org",0.0010622278525419
"US","Connecticut","eastern CT","http://newlondon.craigslist.org",0.000725055095054858
"US","Connecticut","hartford","http://hartford.craigslist.org",0.000725055095054858
"US","Connecticut","new haven","http://newhaven.craigslist.org",0.000725055095054858
"US","Connecticut","northwest CT","http://nwct.craigslist.org",0.000725055095054858
"US","Delaware","delaware","http://delaware.craigslist.org",0.000186652974681303
"US","District of Columbia","washington","http://washingtondc.craigslist.org",0.000130339464400992
"US","Florida","daytona beach","http://daytona.craigslist.org",0.00394232073977618
"US","Florida","florida keys","http://keys.craigslist.org",0.00394232073977618
"US","Florida","fort lauderdale","http://fortlauderdale.craigslist.org",0.00394232073977618
"US","Florida","ft myers / SW florida","http://fortmyers.craigslist.org",0.00394232073977618
"US","Florida","gainesville","http://gainesville.craigslist.org",0.00394232073977618
"US","Florida","heartland florida","http://cfl.craigslist.org",0.00394232073977618
"US","Florida","jacksonville","http://jacksonville.craigslist.org",0.00394232073977618
"US","Florida","lakeland","http://lakeland.craigslist.org",0.00394232073977618
"US","Florida","north central FL","http://lakecity.craigslist.org",0.00394232073977618
"US","Florida","ocala","http://ocala.craigslist.org",0.00394232073977618
"US","Florida","okaloosa / walton","http://okaloosa.craigslist.org",0.00394232073977618
"US","Florida","orlando","http://orlando.craigslist.org",0.00394232073977618
"US","Florida","panama city","http://panamacity.craigslist.org",0.00394232073977618
"US","Florida","pensacola","http://pensacola.craigslist.org",0.00394232073977618
"US","Florida","sarasota-bradenton","http://sarasota.craigslist.org",0.00394232073977618
"US","Florida","south florida","http://miami.craigslist.org",0.00394232073977618
"US","Florida","space coast","http://spacecoast.craigslist.org",0.00394232073977618
"US","Florida","st augustine","http://staugustine.craigslist.org",0.00394232073977618
"US","Florida","tallahassee","http://tallahassee.craigslist.org",0.00394232073977618
"US","Florida","tampa bay area","http://tampa.craigslist.org",0.00394232073977618
"US","Florida","treasure coast","http://treasure.craigslist.org",0.00394232073977618
"US","Florida","west palm beach","http://westpalmbeach.craigslist.org",0.00394232073977618
"US","Georgia","albany ","http://albanyga.craigslist.org",0.00201465807045144
"US","Georgia","athens","http://athensga.craigslist.org",0.00201465807045144
"US","Georgia","atlanta","http://atlanta.craigslist.org",0.00201465807045144
"US","Georgia","augusta","http://augusta.craigslist.org",0.00201465807045144
"US","Georgia","brunswick","http://brunswick.craigslist.org",0.00201465807045144
"US","Georgia","columbus ","http://columbusga.craigslist.org",0.00201465807045144
"US","Georgia","macon / warner robins","http://macon.craigslist.org",0.00201465807045144
"US","Georgia","northwest GA","http://nwga.craigslist.org",0.00201465807045144
"US","Georgia","savannah / hinesville","http://savannah.craigslist.org",0.00201465807045144
"US","Georgia","statesboro","http://statesboro.craigslist.org",0.00201465807045144
"US","Georgia","valdosta","http://valdosta.craigslist.org",0.00201465807045144
"US","Hawaii","hawaii","http://honolulu.craigslist.org",0.000283090617125357
"US","Idaho","boise","http://boise.craigslist.org",0.000325044887967275
"US","Idaho","east idaho","http://eastidaho.craigslist.org",0.000325044887967275
"US","Idaho","lewiston / clarkston","http://lewiston.craigslist.org",0.000325044887967275
"US","Idaho","twin falls","http://twinfalls.craigslist.org",0.000325044887967275
"US","Illinois","bloomington-normal","http://bn.craigslist.org",0.00259734422397013
"US","Illinois","champaign urbana","http://chambana.craigslist.org",0.00259734422397013
"US","Illinois","chicago","http://chicago.craigslist.org",0.00259734422397013
"US","Illinois","decatur","http://decatur.craigslist.org",0.00259734422397013
"US","Illinois","la salle co","http://lasalle.craigslist.org",0.00259734422397013
"US","Illinois","mattoon-charleston","http://mattoon.craigslist.org",0.00259734422397013
"US","Illinois","peoria","http://peoria.craigslist.org",0.00259734422397013
"US","Illinois","rockford","http://rockford.craigslist.org",0.00259734422397013
"US","Illinois","southern illinois","http://carbondale.craigslist.org",0.00259734422397013
"US","Illinois","springfield ","http://springfieldil.craigslist.org",0.00259734422397013
"US","Illinois","western IL","http://quincy.craigslist.org",0.00259734422397013
"US","Indiana","bloomington","http://bloomington.craigslist.org",0.00132484982931585
"US","Indiana","evansville","http://evansville.craigslist.org",0.00132484982931585
"US","Indiana","fort wayne","http://fortwayne.craigslist.org",0.00132484982931585
"US","Indiana","indianapolis","http://indianapolis.craigslist.org",0.00132484982931585
"US","Indiana","kokomo","http://kokomo.craigslist.org",0.00132484982931585
"US","Indiana","lafayette / west lafayette","http://tippecanoe.craigslist.org",0.00132484982931585
"US","Indiana","muncie / anderson","http://muncie.craigslist.org",0.00132484982931585
"US","Indiana","richmond ","http://richmondin.craigslist.org",0.00132484982931585
"US","Indiana","south bend / michiana","http://southbend.craigslist.org",0.00132484982931585
"US","Indiana","terre haute","http://terrehaute.craigslist.org",0.00132484982931585
"US","Iowa","ames","http://ames.craigslist.org",0.000623101228737696
"US","Iowa","cedar rapids","http://cedarrapids.craigslist.org",0.000623101228737696
"US","Iowa","des moines","http://desmoines.craigslist.org",0.000623101228737696
"US","Iowa","dubuque","http://dubuque.craigslist.org",0.000623101228737696
"US","Iowa","fort dodge","http://fortdodge.craigslist.org",0.000623101228737696
"US","Iowa","iowa city","http://iowacity.craigslist.org",0.000623101228737696
"US","Iowa","mason city","http://masoncity.craigslist.org",0.000623101228737696
"US","Iowa","quad cities","http://quadcities.craigslist.org",0.000623101228737696
"US","Iowa","sioux city","http://siouxcity.craigslist.org",0.000623101228737696
"US","Iowa","southeast IA","http://ottumwa.craigslist.org",0.000623101228737696
"US","Iowa","waterloo / cedar falls","http://waterloo.craigslist.org",0.000623101228737696
